Any,Categoria,Peli,Nominat,Guanyador,CategoriaNet,NominatNom,Sexe
2014,Best Female Lead (Millor Protagonista Femenina),Ayer no termina nunca,Candela Peña,FALSE,Millor Protagonista Femenina,Candela,Dona
2014,Best Female Lead (Millor Protagonista Femenina),La Estrella,Ingrid Rubio,FALSE,Millor Protagonista Femenina,Ingrid,Dona
2009,Best European Film (Millor Pel·lícula Europea),La duquesa de Langeais,Jacques Rivette,FALSE,Millor Pel·lícula Europea,Jacques,Home
2014,Best Film Editing (Millor Muntatge),La plaga,Neus Ballús,TRUE,Millor Muntatge,Neus,Dona
2018,Best Cinematography (Millor Fotografia),La librería,Jean-Claude Larrieu,FALSE,Millor Fotografia,Jean-Claude,Home
2014,Best Film Editing (Millor Muntatge),"Barcelona, noche de verano",Elena Ruiz,FALSE,Millor Muntatge,Elena,Dona
2014,Best Film Editing (Millor Muntatge),"Barcelona, noche de verano",Alberto Gutiérrez,FALSE,Millor Muntatge,Alberto,Home
2014,Best Film Editing (Millor Muntatge),El miedo,David Gallart,FALSE,Millor Muntatge,David,Home
2014,Best Film Editing (Millor Muntatge),Hijo de Caín,Bernat Aragonés,FALSE,Millor Muntatge,Bernat,Home
2014,Best Film in Catalan Language (Millor Pel·lícula en Llengua Catalana),La plaga,Neus Ballús,TRUE,Millor Pel·lícula,Neus,Dona
2014,Best Film in Catalan Language (Millor Pel·lícula en Llengua Catalana),La plaga,Pau Subirós,TRUE,Millor Pel·lícula,Pau,Home
2014,Best Film in Catalan Language (Millor Pel·lícula en Llengua Catalana),"Barcelona, noche de verano",Dani de la Orden,FALSE,Millor Pel·lícula,Dani,Home
2014,Best Film in Catalan Language (Millor Pel·lícula en Llengua Catalana),"Barcelona, noche de verano",Eric Navarro,FALSE,Millor Pel·lícula,Eric,Home
2014,Best Film in Catalan Language (Millor Pel·lícula en Llengua Catalana),"Barcelona, noche de verano",Eduard Sola,FALSE,Millor Pel·lícula,Eduard,Home
2014,Best Film in Catalan Language (Millor Pel·lícula en Llengua Catalana),"Barcelona, noche de verano",Daniel González,FALSE,Millor Pel·lícula,Daniel,Home
2014,Best Film in Catalan Language (Millor Pel·lícula en Llengua Catalana),Hijo de Caín,Jesús Monllaó,FALSE,Millor Pel·lícula,Jesus,Home
2014,Best Film in Catalan Language (Millor Pel·lícula en Llengua Catalana),Hijo de Caín,Sergio Barrejón,FALSE,Millor Pel·lícula,Sergio,Home
2014,Best Film in Catalan Language (Millor Pel·lícula en Llengua Catalana),Hijo de Caín,David Victori,FALSE,Millor Pel·lícula,David,Home
2014,Best Film in Catalan Language (Millor Pel·lícula en Llengua Catalana),Todos queremos lo mejor para ella,Mar Coll,FALSE,Millor Pel·lícula,Mar,Dona
2014,Best Film in Catalan Language (Millor Pel·lícula en Llengua Catalana),Todos queremos lo mejor para ella,Valentina Viso,FALSE,Millor Pel·lícula,Valentina,Dona
2014,Best Make-Up and Hairstyles (Millor Maquillatge i Perruqueria),Los últimos días,Patricia Reyes,TRUE,Millor Maquillatge i Perruqueria,Patricia,Dona
2014,Best Make-Up and Hairstyles (Millor Maquillatge i Perruqueria),Grand Piano,Ana López-Puigcerver,FALSE,Millor Maquillatge i Perruqueria,Ana,Dona
2014,Best Make-Up and Hairstyles (Millor Maquillatge i Perruqueria),Grand Piano,Belén López-Puigcerver,FALSE,Millor Maquillatge i Perruqueria,Belen,Dona
2014,Best Make-Up and Hairstyles (Millor Maquillatge i Perruqueria),Historia de mi muerte,Mariona Trias,FALSE,Millor Maquillatge i Perruqueria,Mariona,Dona
2009,Best Original Score (Millor Música Original),Vicky Cristina Barcelona,Jens Neumaier,TRUE,Millor Música Original,Jens,Home
2014,Best Make-Up and Hairstyles (Millor Maquillatge i Perruqueria),Todos queremos lo mejor para ella,Laura Bruy,FALSE,Millor Maquillatge i Perruqueria,Laura,Dona
2019,Best Documentary (Millor Pel·lícula Documental),Comandante Arian,Jesper Osmund,FALSE,Millor Pel·lícula Documental,Jesper,Home
