Any,Categoria,Peli,Nominat,Guanyador,CategoriaNet,NominatNom,Sexe
2020,Best Visual Effects (Millors Efectes Visuals),Dolor y gloria,Inma Nadela,FALSE,Millors Efectes Visuals,Inma,Dona
2010,Best Non-Catalan Language Film (Millor Pel·lícula en Llengua no Catalana),Los condenados,Isa Campo,TRUE,Millor Pel·lícula en llengua no catalana,Isa,Dona
2012,Best Sound (Millor So),Chico & Rita,Pelayo Gutiérrez,FALSE,Millor So,Pelayo,Home
2012,Best Sound (Millor So),Chico & Rita,Nacho Royo-Villanova,FALSE,Millor So,Nacho,Home
2012,Best Sound (Millor So),Eva,Jordi Rossinyol Colomer,FALSE,Millor So,Jordi,Home
2012,Best Sound (Millor So),Eva,Oriol Tarragó,FALSE,Millor So,Oriol,Home
2012,Best Sound (Millor So),Eva,Marc Orts,FALSE,Millor So,Marc,Home
2012,Best Special/Visual Effects (Millors Efectes Especials/Digitals),Eva,Arturo Balseiro,TRUE,Millors Efectes Visuals,Arturo,Home
2012,Best Special/Visual Effects (Millors Efectes Especials/Digitals),Eva,Lluís Castells,TRUE,Millors Efectes Visuals,Lluis,Home
2012,Best Special/Visual Effects (Millors Efectes Especials/Digitals),Eva,Javier García,TRUE,Millors Efectes Visuals,Javier,Home
2012,Best Special/Visual Effects (Millors Efectes Especials/Digitals),Bruc: El desafío,Reyes Abades,FALSE,Millors Efectes Visuals,Reyes,Home
